"index","painting index","image source","title","season","episode","number of colors","youtube source","colors","color hex","black gesso","bright red","burnt umber","cadmium yellow","dark sienna","indian red","indian yellow","liquid black","liquid clear","midnight black","phthalo blue","phthalo green","prussian blue","sap green","titanium white","van dyke brown","yellow ochre","alizarin crimson"
"201","89","https://www.twoinchbrush.com/images/painting89.png","contemplative lady","16","6","1","https://www.youtube.com/embed/gnp6we7ql-s","['van dyke brown']","['#221b15']","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"202","90","https://www.twoinchbrush.com/images/painting90.png","deep woods","16","7","10","https://www.youtube.com/embed/re5zvs_yjfe","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1"
"203","91","https://www.twoinchbrush.com/images/painting91.png","high tide","16","8","12","https://www.youtube.com/embed/_ireq4sicx8","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"204","93","https://www.twoinchbrush.com/images/painting93.png","barn in snow oval","16","9","7","https://www.youtube.com/embed/wjmi7-g9r-w","['alizarin crimson', 'dark sienna', 'midnight black\r\n\r\n', 'phthalo blue', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#5f2e1f', '#000000', '#0c0040', '#ffffff', '#221b15', '#c79b00']","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","1","1"
"205","94","https://www.twoinchbrush.com/images/painting94.png","that time of year","16","10","9","https://www.youtube.com/embed/q5moloqokp0","['alizarin crimson', 'bright red', 'cadmium yellow', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown']","['#4e1500', '#db0000', '#ffec00', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15']","0","1","0","1","0","0","1","0","0","1","1","0","0","1","1","1","0","1"
"206","95","https://www.twoinchbrush.com/images/painting95.png","waterfall wonder","16","11","11","https://www.youtube.com/embed/aghxepfp-w4","['alizarin crimson', 'black gesso', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","0","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"207","96","https://www.twoinchbrush.com/images/painting96.png","mighty mountain lake","16","12","11","https://www.youtube.com/embed/4vxb2r8ybde","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'prussian blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#021e44', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","0","0","1","1","1","1","1","1"
"208","97","https://www.twoinchbrush.com/images/painting97.png","wooded stream oval","16","13","12","https://www.youtube.com/embed/-xa2h17y3hu","['alizarin crimson', 'black gesso', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#000000', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","1","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
"209","71","https://www.twoinchbrush.com/images/painting71.png","golden mist oval","17","1","9","https://www.youtube.com/embed/lhpfaw0k6um","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'midnight black\r\n\r\n', 'phthalo blue', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#000000', '#0c0040', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","0","0","0","1","1","0","0","0","1","1","1","1"
"210","72","https://www.twoinchbrush.com/images/painting72.png","the old home place","17","2","11","https://www.youtube.com/embed/evqcdeijh2o","['alizarin crimson', 'bright red', 'cadmium yellow', 'dark sienna', 'indian yellow', 'midnight black\r\n\r\n', 'phthalo blue', 'sap green', 'titanium white', 'van dyke brown', 'yellow ochre']","['#4e1500', '#db0000', '#ffec00', '#5f2e1f', '#ffb800', '#000000', '#0c0040', '#0a3410', '#ffffff', '#221b15', '#c79b00']","0","1","0","1","1","0","1","0","0","1","1","0","0","1","1","1","1","1"
